"lat (deg)","lng (deg)","alt (m)","az (deg)","el (deg)","range (m)","ha (deg)","dec (deg)","utime","isotime","grndLat (deg)","grndLng (deg)","grndAlt (m)","aprsLat (deg)","aprsLng (deg)","aprsAlt (m)","predLat (deg)","predLng (deg)","predAlt (m)","command","source"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:53:38.685778","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:53:48.734300","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:53:58.795670","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","1582.0","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","1550774250.0","2019-02-25 16:54:09.705532","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","aprs"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:54:19.744674","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:54:29.785364","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","1582.0","23.851556205738273","-40.07615401298464","8230091.784503867","-10.793902177748286","4.859901966857664","1550774250.0","2019-02-25 16:54:40.625749","-404","-404","-404","42.28833","-83.71467","1582.0","488.57666","236.57066","3568.0","#12;","aprs"
"-850.28833","-724.28533","-2390.0","233.0786279071567","-63.4906206125591","11380804.72133231","9.56479350771105","-53.16564375348186","-404","2019-02-25 16:54:50.675633","-404","-404","-404","42.28833","-83.71467","1582.0","-850.28833","-724.28533","-2390.0","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:55:00.719012","-404","-404","-404","42.28833","-83.71467","1582.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","1582.0","23.851556205738273","-40.07615401298464","8230091.784503867","-10.793902177748286","4.859901966857664","1550774250.0","2019-02-25 16:55:11.645748","-404","-404","-404","42.28833","-83.71467","1582.0","488.57666","236.57066","3568.0","#12;","aprs"
"-1742.86499","-1364.85599","-6362.0","11.49656646839337","-39.565656698738515","8126573.55210902","-11.405659701618191","7.495815779283681","-404","2019-02-25 16:55:21.695252","-404","-404","-404","42.28833","-83.71467","1582.0","-1742.86499","-1364.85599","-6362.0","#12;","pred"
"42.28832999999997","-83.71466999999996","1582.0","58.2367407290057","27.66635926982749","2779.3751246848824","-5.848309919188709","41.09552818894537","-404","2019-02-25 16:55:31.746974","-404","-404","-404","42.28833","-83.71467","1582.0","42.28832999999997","-83.71466999999996","1582.0","#33,-5.848309919188709,41.09552818894537;","pred"
"42.28833","-83.71467","1582.0","23.851556205738273","-40.07615401298464","8230091.784503867","-10.793902177748286","4.859901966857664","1550774250.0","2019-02-25 16:55:42.685639","-404","-404","-404","42.28833","-83.71467","1582.0","488.57666","236.57066","3568.0","#12;","aprs"
"-3528.01831","-2645.99731","-14306.0","339.22229199884003","-18.211352689902043","3940213.347596204","10.524781129414773","26.544657540519275","-404","2019-02-25 16:55:52.745455","-404","-404","-404","42.28833","-83.71467","1582.0","-3528.01831","-2645.99731","-14306.0","#12;","pred"
"1827.44165","1197.42665","9526.0","340.3764993394444","-53.73710406504693","10311878.25031461","11.229503960948726","-7.480352001580931","-404","2019-02-25 16:56:02.795346","-404","-404","-404","42.28833","-83.71467","1582.0","1827.44165","1197.42665","9526.0","#12;","pred"
"42.28833","-83.71467","1582.0","58.23674072879955","27.666359269865907","2779.3751246823135","-5.848309919194764","41.09552818911894","1550774250.0","2019-02-25 16:56:13.895425","-404","-404","-404","42.28833","-83.71467","1582.0","42.28833000000003","-83.71467000000004","1582.0","#33,-5.848309919194764,41.09552818911894;","aprs"
"-7098.32495","-5208.27995","-30194.0","15.306571846962129","-25.251664572105884","5373183.243874842","-11.012102830963023","21.00736797369062","-404","2019-02-25 16:56:23.945396","-404","-404","-404","42.28833","-83.71467","1582.0","-7098.32495","-5208.27995","-30194.0","#12;","pred"
"7182.90161","5040.85061","33358.0","106.02990213807254","-48.5966960648192","9600685.601661874","-8.280606929682058","-39.77007819084236","-404","2019-02-25 16:56:33.995600","-404","-404","-404","42.28833","-83.71467","1582.0","7182.90161","5040.85061","33358.0","#12;","pred"
