lat (deg),lng (deg),alt (m),az (deg),el (deg),range (m),ha (deg),dec (deg),ha_offset (deg),dec_offset (deg),utime,isotime,ground_lat (deg),ground_lng (deg),ground_alt (m),aprs_lat (deg),aprs_lng (deg),aprs_alt (m),pred_lat (deg),pred_lng (deg),pred_alt (m),command,source
42.3985,-83.93533,464,310.1247744,0.37690271,21029.51476,7.951687388,28.76706655,0,0,0,29:19.3,42.3985,-83.93533,464,-404,-404,-404,-404,-404,-404,"#33,7.9516873879554035,28.76706655368468;",ground
-404,-404,-404,-404,-404,-404,-404,-404,0,0,-404,29:29.3,42.39833,-83.936,907,34.03983,-93.8895,248.41,-404,-404,-404,NOT SET,ground
-404,-404,-404,-404,-404,-404,-404,-404,0,0,-404,29:39.3,42.39833,-83.936,907,34.03983,-93.8895,248.41,-404,-404,-404,NOT SET,pred
42.39683,-83.93717,1313,309.4721747,2.68799906,21053.22697,7.798378931,30.09206696,0,0,2,29:49.3,42.39683,-83.93717,1313,34.03983,-93.8895,248.41,42.3985,-83.93533,464,"#33,7.798378931353385,30.092066961067026;",ground
42.39633,-83.9375,1746,309.3080819,3.866246354,21065.31914,7.728419516,30.8648677,0,0,3,29:59.3,42.39633,-83.9375,1746,34.03983,-93.8895,248.41,-404,-404,-404,"#33,7.728419515934947,30.864867696988682;",ground
42.39533,-83.936,2160,309.2858395,5.028747541,20933.35301,7.666365836,31.7129376,0,0,4,30:09.4,42.39533,-83.936,2160,34.03983,-93.8895,248.41,-404,-404,-404,"#33,7.6663658361089855,31.71293760100287;",ground
42.3935,-83.9355,2574,308.9212315,6.203648711,20816.10717,7.582806618,32.33165576,0,0,5,30:19.4,42.3935,-83.9355,2574,34.03983,-93.8895,248.41,42.39683,-83.93717,1313,"#33,7.58280661790738,32.331655760362445;",ground
42.39233,-83.93383,3010,308.8788705,7.462263184,20682.1084,7.51202653,33.21994392,0,0,6,30:29.4,42.39233,-83.93383,3010,34.03983,-93.8895,248.41,42.39633,-83.9375,1746,"#33,7.512026529890666,33.21994392469126;",ground
42.39083,-83.93233,3430,308.7302767,8.697753853,20543.89758,7.435045216,34.00949989,0,0,7,30:39.4,42.39083,-83.93233,3430,34.03983,-93.8895,248.41,42.39533,-83.936,2160,"#33,7.435045216270603,34.00949989427931;",ground
42.38917,-83.9315,3841,308.4414591,9.908604258,20445.62478,7.350137347,34.67399275,0,0,8,30:49.4,42.38917,-83.9315,3841,34.03983,-93.8895,248.41,42.39158053,-83.92875726,3373.550108,"#33,7.350137346975223,34.67399274944993;",ground
42.38483,-83.92933,4681,307.6631532,12.47487455,20182.19539,7.156785221,35.92566395,0,0,9,30:59.4,42.38483,-83.92933,4681,34.03983,-93.8895,248.41,42.38676649,-83.93549976,3816.049425,"#33,7.156785220794622,35.92566394628463;",ground
42.38167,-83.92833,5099,306.9897313,13.81731761,20007.9457,7.038948743,36.36727863,0,0,10,31:09.4,42.38167,-83.92833,5099,34.03983,-93.8895,248.41,42.38981017,-83.92706697,4351.030458,"#33,7.038948743228729,36.367278634652344;",ground
42.3785,-83.92633,5496,306.4402085,15.17329779,19777.18632,6.925923819,36.88746328,0,0,11,31:19.4,42.3785,-83.92633,5496,34.03983,-93.8895,248.41,42.38583595,-83.92808612,4666.035648,"#33,6.925923819209724,36.88746328478519;",ground
42.37567,-83.9255,5921,305.7926829,16.55290227,19663.64291,6.805008535,37.33386373,0,0,12,31:29.4,42.37567,-83.9255,5921,34.03983,-93.8895,248.41,42.38395103,-83.93001523,5060.526976,"#33,6.805008534938131,37.333863730610574;",ground
42.37283,-83.92433,6348,305.1752929,17.97254896,19542.13818,6.682015428,37.80806551,0,0,13,31:39.4,42.37283,-83.92433,6348,34.03983,-93.8895,248.41,42.36779972,-83.92081781,7844.885089,"#33,6.6820154280693504,37.80806550905615;",ground
42.36983,-83.92117,6765,304.7863559,19.52338403,19294.65546,6.560742135,38.51162097,0,0,14,31:49.4,42.36983,-83.92117,6765,34.03983,-93.8895,248.41,42.3739598,-83.92708447,5720.029965,"#33,6.56074213527278,38.511620966755814;",ground
42.36583,-83.9185,7201,304.0097862,21.19711693,19042.45685,6.410014257,38.98310758,0,0,15,31:59.5,42.36583,-83.9185,7201,34.03983,-93.8895,248.41,42.36897641,-83.91883282,6655.623657,"#33,6.41001425705265,38.98310758040589;",ground
42.362,-83.91633,7646,303.1726879,22.88192773,18854.81877,6.254311454,39.38764303,0,0,16,32:09.5,42.362,-83.91633,7646,34.03983,-93.8895,248.41,42.36769165,-83.92476485,7238.052108,"#33,6.25431145363957,39.387643034484555;",ground
42.35783,-83.91383,8045,302.238784,24.52123228,18628.80344,6.096312357,39.66503179,0,0,17,32:19.5,42.35783,-83.91383,8045,34.03983,-93.8895,248.41,42.36429664,-83.92031147,7632.080603,"#33,6.0963123568732165,39.66503179219198;",ground
42.35333,-83.911,8458,301.1971106,26.29040575,18390.92157,5.923757274,39.9092019,0,0,18,32:29.5,42.35333,-83.911,8458,34.03983,-93.8895,248.41,42.36059099,-83.90870991,8001.185074,"#33,5.923757273863662,39.90920189689689;",ground
42.3505,-83.90933,8879,300.49563,27.85719435,18335.11934,5.780061565,40.26368875,0,0,19,32:39.5,42.3505,-83.90933,8879,34.03983,-93.8895,248.41,42.35233286,-83.91122805,8537.722435,"#33,5.7800615652256235,40.26368874856388;",ground
42.3475,-83.908,9323,299.6607916,29.46784433,18319.69347,5.626813952,40.52006341,0,0,20,32:49.6,42.3475,-83.908,9323,34.03983,-93.8895,248.41,42.35076723,-83.91057204,8994.632635,"#33,5.626813951965962,40.520063407834535;",ground
42.34433,-83.90883,9742,298.42879,30.77005685,18435.2746,5.480729799,40.30170507,0,0,21,32:59.6,42.34433,-83.90883,9742,34.03983,-93.8895,248.41,42.34481197,-83.90583817,9173.209142,"#33,5.480729798568585,40.301705068307385;",ground
